7950,7,0
7953,7.1,0
7956,7,0
7959,7,0
7962,7.1,0
7965,7,0
7968,6.9,0
7971,7,0
7974,7.1,0
7977,7,0
7980,7,0
7983,7,0
7986,7.1,0
7989,7,0
7992,7,0
7995,7,0
7998,7,0
8001,7,0
8004,7,0
8007,7,0
8010,7,0
8013,7,0
8016,7,0
8019,7,0
8022,7,0
8025,7,0
8028,13,0
8031,27.5,0
8034,27.5,0
8037,27.5,0
8040,27.4,0
8043,27.5,0
8046,27.5,0
8049,27.5,0
8052,27.5,0
8055,27.5,23.8
8058,27.5,23.8
8061,27.5,23.8
8064,27.5,23.8
8067,30.4,23.8
8070,38.8,23.8
8073,39.1,23.8
8076,39.6,23.8
8079,44,23.8
8082,43.9,23.9
8085,44,23.8
8088,44.2,26
8091,44,35.5
8094,43.9,35.5
8097,43.9,35.5
8100,39.2,33.4
8103,39.5,33.1
8106,41,34.4
8109,41,34.5
8112,41,34.5
8115,41,34.5
8118,41,34.5
8121,41,34.4
8124,41,34.5
8127,41,34.6
8130,41,34.5
8133,41,34.5
8136,39.1,33.3
8139,39.1,33.3
8142,39.2,33.1
8145,40.3,33.1
8148,39.1,33.1
8151,39.1,33.2
8154,39.2,34.5
8157,39.2,33.1
8160,40.2,33.9
8163,10.5,0.7
8166,10.5,0.7
8169,43.7,34.3
8172,41.6,36.5
8175,273.5,191.1
8178,332.6,269
8181,217,228.6
8184,232.2,70.6
8187,75.7,73.2
8190,78.5,70.4
8193,77.5,74
8196,77.8,70.4
8199,73.7,67.9
8202,74.5,67.9
8205,73.9,67.9
8208,74.2,68.2
8211,74.7,68.1
8214,73.7,67.4
8217,73.8,68
8220,73.9,67.9
8223,73.8,68
8226,73.8,67.7
8229,74.1,67.8
8232,73.9,68.1
8235,73.8,67.8
8238,73.9,68.3
8241,73.8,68.4
8244,74.2,68.3
8247,73.8,68.5
8250,73.6,68.3
8253,74.3,68
8256,74.2,67.9
8259,73.7,68
8262,74.5,67.9
8265,74,68
8268,74.3,67.6
8271,74.7,68
8274,74.6,68.5
8277,74.7,68.7
8280,74.6,68.6
8283,73.9,67.8
8286,73.6,68.3
8289,74.6,68.2
8292,73.6,68
8295,73.3,68.5
8298,18.1,5.7
8301,7.2,0
8304,7.1,0
8307,7.1,0
8310,7,0
8313,7,0
8316,7.1,0
8319,7.1,0
8322,7,0
8325,7,0
8328,7,0
8331,7,0
8334,7.1,0
8337,7,0
8340,7.1,0
8343,7.1,0
8346,7,0
8349,7,0
